region,latitude,longitude
Albany,42.6511674,-73.754968
Atlanta,33.7489924,-84.3902644
BaltimoreWashington,37.038200366666665,-94.99380493333334
BirminghamMontgomery,40.32740833333333,-105.59734546666667
Boise,43.6166163,-116.200886
Boston,42.3554334,-71.060511
BuffaloRochester,39.52844825,-94.908254
California,36.7014631,-118.755997
Charlotte,35.2272086,-80.8430827
Chicago,41.8755616,-87.6244212
CincinnatiDayton,40.91891085,-85.31256385
Columbus,39.9622601,-83.0007065
DallasFtWorth,39.85074825,-93.99278425
Denver,39.7392364,-104.984862
Detroit,42.3315509,-83.0466403
GrandRapids,39.81702836,-85.51085172
GreatLakes,37.30250582,-87.97506314
HarrisburgScranton,34.78798328,-90.43927456
HartfordSpringfield,32.273460740000004,-92.90348598
Houston,29.7589382,-95.3676974
Indianapolis,39.7683331,-86.1583502
Jacksonville,30.3321838,-81.655651
LasVegas,32.1868474,-99.95518305
LosAngeles,34.041511,-118.2547151
Louisville,38.2542376,-85.759407
Miami,25.7741728,-80.19362
Midsouth,32.2197401,-90.23060744408522
Nashville,36.1622767,-86.7742984
New York,40.7127281,-74.0060152
NewOrleans,40.711509250000006,-74.0054762653227
NewYork,40.710290400000005,-74.00493733064542
Northeast,45.0157576,-93.2512895
Northern New England,43.64496844999999,-70.24701294848558
NorthernNewEngland,36.093539674999995,-75.81302167424279
Orlando,28.5421109,-81.3790304
PeoriaSpringfield,34.2474173,-78.2712783
Philadelphia,39.9527237,-75.1635262
PhoenixTucson,40.1972089,-77.57680615000001
Pittsburgh,40.4416941,-79.9900861
Plains,33.1892387,-102.827274
Portland,45.5202471,-122.674194
Providence,41.8239891,-71.4128343
RaleighGreensboro,40.306317066666665,-74.25569996666667
RichmondNorfolk,38.78864503333333,-77.09856563333334
Roanoke,37.270973,-79.9414313
Sacramento,38.5810606,-121.493895
SanDiego,39.9811364,-82.8578423
SanFrancisco,43.79248425,-102.59395215
Seattle,47.6038321,-122.330062
SouthCarolina,32.6552137,-93.55808880000001
SouthCentral,17.7065953,-64.7861156
Southeast,41.4134491,-73.6231505
Spokane,47.6571934,-117.42351
StLouis,36.237632,-95.9705863
Syracuse,43.0481221,-76.1474244
Tampa,27.9477595,-82.458444
Toledo,41.6529143,-83.5378173
TotalUS,36.72819775,-90.3155822
West,31.8034812,-97.0933471
WestTexNewMexico,34.74785865,-97.21544595
Wichita,37.6922361,-97.3375448
